"id","team_id","customer_id","batch_flag","is_deleted","remark","created_at","updated_at","deleted_at"
"383653904497246209","161","383547225592037376","0","0",,"2019-09-25 16:23:38","2020-05-07 15:35:21",
"383657210288275456","162","383547225592037376","0","0",,"2019-09-25 16:36:46","2020-05-07 15:35:22",
"383668184890212353","163","383547225592037376","0","0",,"2019-09-25 17:20:23","2020-05-07 15:16:45",
"383668184919572480","163","383581755103248384","0","0",,"2019-09-25 17:20:23","2020-05-07 15:16:45",
"383671987836289024","164","382556430466547712","0","0",,"2019-09-25 17:35:30","2020-05-07 15:16:46",
"383690063755608065","165","382986087594721280","0","0",,"2019-09-25 18:47:19","2020-05-07 15:35:21",
"383937573325635585","166","383933091455959041","0","0",,"2019-09-26 11:10:50","2020-05-07 15:35:22",
"383938204425781249","167","383933091455959041","0","0",,"2019-09-26 11:13:21","2020-05-07 15:16:45",
"383990441407676416","169","383564379058077696","0","0",,"2019-09-26 14:40:55","2020-05-07 15:35:21",
"384002558508662785","170","382537218763259905","0","0",,"2019-09-26 15:29:04","2020-05-07 15:16:45",
"384017759467470848","171","382991566295269376","0","0",,"2019-09-26 16:29:28","2020-05-07 15:16:46",
"384018162359730177","172","382991566295269376","0","0",,"2019-09-26 16:31:04","2020-05-07 15:35:21",
"384306482100830209","174","383933091455959041","0","0",,"2019-09-27 11:36:45","2020-05-07 15:16:45",
"384307246240104449","175","383933091455959041","0","0",,"2019-09-27 11:39:47","2020-05-07 15:16:46",
"384340868363976705","173","384327398167937024","0","0",,"2019-09-27 13:53:23","2020-05-07 15:35:22",
"384340868401725440","173","384323064109727744","0","0",,"2019-09-27 13:53:23","2020-05-07 15:35:22",
"384340868418502657","173","384322618578173952","0","0",,"2019-09-27 13:53:23","2020-05-07 15:35:22",
"384340868435279872","173","384322617437323265","0","0",,"2019-09-27 13:53:23","2020-05-07 15:35:22",
"384340868452057089","173","384322612454490112","0","0",,"2019-09-27 13:53:23","2020-05-07 15:35:22",
"384368668911337473","176","384352447490949121","0","0",,"2019-09-27 15:43:51","2020-05-07 15:35:21",
"384369024307298305","177","384352447490949121","0","0",,"2019-09-27 15:45:16","2020-05-07 15:35:22",
